Pi Fraction Statistical Data
Created 09-18-2016 11:01:54

#fractions: 215830
Mean value: 0.499283729688375

 Norm Bin#    PDF       CDF
0.35700000  1.0981   0.35734143
0.35800000  1.0610   0.35840245
0.35900000  1.0981   0.35950053
0.36000000  0.9452   0.36044572
0.36100000  0.9498   0.36139554
0.36200000  1.1769   0.36257239
0.36300000  0.9498   0.36352222
0.36400000  0.9823   0.36450447
0.36500000  1.0286   0.36553306
0.36600000  0.9962   0.36652921
0.36700000  1.0425   0.36757170
0.36800000  1.0471   0.36861882
0.36900000  0.8803   0.36949914
0.37000000  1.1027   0.37060186
0.37100000  1.1213   0.37172312
0.37200000  0.9035   0.37262660
0.37300000  1.0240   0.37365056
0.37400000  0.8247   0.37447528
0.37500000  0.8803   0.37535560
0.37600000  1.0888   0.37644442
0.37700000  0.9267   0.37737108
0.37800000  0.9869   0.37835797
0.37900000  1.0981   0.37945605
0.38000000  0.9452   0.38040124
0.38100000  0.9174   0.38131863
0.38200000  1.0703   0.38238892
0.38300000  1.0332   0.38342214
0.38400000  0.9684   0.38439049
0.38500000  1.0564   0.38544688
0.38600000  0.9962   0.38644303
0.38700000  0.9962   0.38743919
0.38800000  0.9730   0.38841218
0.38900000  1.1444   0.38955660
0.39000000  0.9498   0.39050642
0.39100000  1.0564   0.39156280
0.39200000  1.0379   0.39260066
0.39300000  0.9730   0.39357365
0.39400000  1.0657   0.39463930
0.39500000  1.0379   0.39567715
0.39600000  0.9220   0.39659918
0.39700000  0.9915   0.39759070
0.39800000  1.0842   0.39867488
0.39900000  1.0518   0.39972664
0.40000000  1.1213   0.40084789
0.40100000  1.0425   0.40189038
0.40200000  0.9545   0.40284483
0.40300000  1.0518   0.40389659
0.40400000  1.0518   0.40494834
0.40500000  1.0564   0.40600473
0.40600000  1.0935   0.40709818
0.40700000  0.9730   0.40807117
0.40800000  0.9730   0.40904416
0.40900000  0.8850   0.40992911
0.41000000  1.0471   0.41097623
0.41100000  1.1259   0.41210212
0.41200000  0.9545   0.41305657
0.41300000  1.0610   0.41411759
0.41400000  0.9359   0.41505351
0.41500000  0.9267   0.41598017
0.41600000  1.1213   0.41710142
0.41700000  1.0101   0.41811148
0.41800000  0.8850   0.41899643
0.41900000  1.0518   0.42004819
0.42000000  0.9962   0.42104434
0.42100000  1.0147   0.42205903
0.42200000  0.9591   0.42301812
0.42300000  1.0286   0.42404670
0.42400000  0.9823   0.42502896
0.42500000  0.9081   0.42593708
